campaign_id,campaign_name,campaign_family,campaign_type,business_goal,offer_description,spend_category_focus,target_segments,excluded_segments,risk_level,risk_sensitivity,cost_per_customer,expected_lift_pct,response_rate_assumption,primary_success_metric,guardrail_notes,recommended_rollout,max_default_probability,max_utilization,min_credit_score,allow_high_utilization,client_editable,active_flag
CMP012,Movie and Events Offer,Dining and Entertainment,Lifestyle Rewards,"Increase dining, entertainment, and lifestyle spend.","Earn rewards on movies, events, and entertainment.",Entertainment,Core Customer; Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Low-Medium,Medium,7.9,0.08,0.0749,Incremental lifestyle spend,Prioritize positive ROI customers with acceptable utilization.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP013,Weekend Dining Challenge,Dining and Entertainment,Lifestyle Rewards,"Increase dining, entertainment, and lifestyle spend.",Spend a set amount on dining over weekends to earn a bonus.,Dining,Core Customer; Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Low-Medium,Medium,8.1,0.0832,0.07,Incremental lifestyle spend,Prioritize positive ROI customers with acceptable utilization.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP014,Restaurant Partner Offer,Dining and Entertainment,Lifestyle Rewards,"Increase dining, entertainment, and lifestyle spend.",Earn merchant-funded rewards at selected restaurants.,Dining,Core Customer; Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Low-Medium,Medium,8.3,0.0864,0.0725,Incremental lifestyle spend,Prioritize positive ROI customers with acceptable utilization.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP015,Family Dining Bonus,Dining and Entertainment,Lifestyle Rewards,"Increase dining, entertainment, and lifestyle spend.",Earn rewards on family dining and casual restaurants.,Dining,Core Customer; Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Low-Medium,Medium,8.5,0.0896,0.0749,Incremental lifestyle spend,Prioritize positive ROI customers with acceptable utilization.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP016,Entertainment Night Out,Dining and Entertainment,Lifestyle Rewards,"Increase dining, entertainment, and lifestyle spend.",Earn rewards on entertainment and dining in the same period.,Entertainment,Core Customer; Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Low-Medium,Medium,8.7,0.08,0.07,Incremental lifestyle spend,Prioritize positive ROI customers with acceptable utilization.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP017,Travel Spend Accelerator,Travel and Premium,Travel Rewards,Increase travel spend and deepen premium customer engagement.,"Earn bonus points on flights, hotels, and travel bookings.",Travel,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch; Dormant but Recoverable,Medium,Medium,10.95,0.104,0.0535,Incremental travel spend,Avoid high default probability and high-utilization customers unless risk-adjusted profit is strong.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP018,Hotel Rewards Booster,Travel and Premium,Travel Rewards,Increase travel spend and deepen premium customer engagement.,Earn bonus rewards on hotel purchases.,Travel,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch; Dormant but Recoverable,Medium,Medium,11.25,0.108,0.05,Incremental travel spend,Avoid high default probability and high-utilization customers unless risk-adjusted profit is strong.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP019,Airfare Bonus Offer,Travel and Premium,Travel Rewards,Increase travel spend and deepen premium customer engagement.,Earn rewards on airline purchases.,Travel,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch; Dormant but Recoverable,Medium,Medium,11.55,0.112,0.0517,Incremental travel spend,Avoid high default probability and high-utilization customers unless risk-adjusted profit is strong.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP020,Rental Car Rewards,Travel and Premium,Travel Rewards,Increase travel spend and deepen premium customer engagement.,Earn rewards on rental car purchases.,Travel,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch; Dormant but Recoverable,Medium,Medium,11.85,0.1,0.0535,Incremental travel spend,Avoid high default probability and high-utilization customers unless risk-adjusted profit is strong.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP021,Travel Portal Bonus,Travel and Premium,Travel Rewards,Increase travel spend and deepen premium customer engagement.,Earn extra rewards when booking through a travel portal.,Travel,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch; Dormant but Recoverable,Medium,Medium,12.15,0.104,0.05,Incremental travel spend,Avoid high default probability and high-utilization customers unless risk-adjusted profit is strong.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP022,Premium Trip Planning Offer,Travel and Premium,Travel Rewards,Increase travel spend and deepen premium customer engagement.,Earn travel credits after meeting a trip spend threshold.,Travel,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch; Dormant but Recoverable,Medium,Medium,12.45,0.108,0.0517,Incremental travel spend,Avoid high default probability and high-utilization customers unless risk-adjusted profit is strong.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP023,International Travel Booster,Travel and Premium,Travel Rewards,Increase travel spend and deepen premium customer engagement.,Earn rewards on international travel purchases.,Travel,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch; Dormant but Recoverable,Medium,Medium,12.75,0.112,0.0535,Incremental travel spend,Avoid high default probability and high-utilization customers unless risk-adjusted profit is strong.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP024,Weekend Getaway Rewards,Travel and Premium,Travel Rewards,Increase travel spend and deepen premium customer engagement.,Earn bonus rewards on short-stay travel purchases.,Travel,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch; Dormant but Recoverable,Medium,Medium,13.05,0.1,0.05,Incremental travel spend,Avoid high default probability and high-utilization customers unless risk-adjusted profit is strong.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP025,Retail Partner Cashback,Merchant Offers,Merchant-Funded Offer,Drive spend at selected merchants through targeted card-linked offers.,Earn cashback at selected retail partners.,Retail,Core Customer; Loyal High-Value Customer; Underused Low-Risk Customer; Premium Growth Candidate,Risk Watch,Low,Low,3.65,0.052,0.107,Offer activation and merchant spend,"Low credit-risk impact, but still exclude very high risk customers.",Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP026,Streaming Subscription Offer,Merchant Offers,Merchant-Funded Offer,Drive spend at selected merchants through targeted card-linked offers.,Earn statement credit on streaming subscriptions.,Subscription,Core Customer; Loyal High-Value Customer; Underused Low-Risk Customer; Premium Growth Candidate,Risk Watch,Low,Low,3.75,0.054,0.1,Offer activation and merchant spend,"Low credit-risk impact, but still exclude very high risk customers.",Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP027,Rideshare Partner Offer,Merchant Offers,Merchant-Funded Offer,Drive spend at selected merchants through targeted card-linked offers.,Earn cashback on rideshare purchases.,Transportation,Core Customer; Loyal High-Value Customer; Underused Low-Risk Customer; Premium Growth Candidate,Risk Watch,Low,Low,3.85,0.056,0.1035,Offer activation and merchant spend,"Low credit-risk impact, but still exclude very high risk customers.",Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP028,Food Delivery Partner Offer,Merchant Offers,Merchant-Funded Offer,Drive spend at selected merchants through targeted card-linked offers.,Earn cashback with selected food delivery partners.,Dining,Core Customer; Loyal High-Value Customer; Underused Low-Risk Customer; Premium Growth Candidate,Risk Watch,Low,Low,3.95,0.05,0.107,Offer activation and merchant spend,"Low credit-risk impact, but still exclude very high risk customers.",Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP029,Fitness Partner Offer,Merchant Offers,Merchant-Funded Offer,Drive spend at selected merchants through targeted card-linked offers.,Earn rewards with selected fitness or wellness merchants.,Wellness,Core Customer; Loyal High-Value Customer; Underused Low-Risk Customer; Premium Growth Candidate,Risk Watch,Low,Low,4.05,0.052,0.1,Offer activation and merchant spend,"Low credit-risk impact, but still exclude very high risk customers.",Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP030,Home Improvement Offer,Merchant Offers,Merchant-Funded Offer,Drive spend at selected merchants through targeted card-linked offers.,Earn cashback at home improvement merchants.,Home,Core Customer; Loyal High-Value Customer; Underused Low-Risk Customer; Premium Growth Candidate,Risk Watch,Low,Low,4.15,0.054,0.1035,Offer activation and merchant spend,"Low credit-risk impact, but still exclude very high risk customers.",Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP031,Electronics Partner Offer,Merchant Offers,Merchant-Funded Offer,Drive spend at selected merchants through targeted card-linked offers.,Earn cashback at selected electronics retailers.,Retail,Core Customer; Loyal High-Value Customer; Underused Low-Risk Customer; Premium Growth Candidate,Risk Watch,Low,Low,4.25,0.056,0.107,Offer activation and merchant spend,"Low credit-risk impact, but still exclude very high risk customers.",Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP032,Back-to-School Merchant Offer,Merchant Offers,Merchant-Funded Offer,Drive spend at selected merchants through targeted card-linked offers.,Earn rewards at school supply and retail partners.,Retail,Core Customer; Loyal High-Value Customer; Underused Low-Risk Customer; Premium Growth Candidate,Risk Watch,Low,Low,4.35,0.05,0.1,Offer activation and merchant spend,"Low credit-risk impact, but still exclude very high risk customers.",Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP033,Mobile App Activation,Digital Engagement,Digital Engagement,"Increase mobile app usage, digital servicing, and offer activation.",Earn a small reward after logging into the mobile app.,Digital,Core Customer; Underused Low-Risk Customer; Dormant but Recoverable,Risk Watch,Low,Low,2.74,0.0416,0.1284,Digital activation,Safe campaign type; avoid customers with major risk guardrail triggers.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP034,Card-Linked Offer Activation,Digital Engagement,Digital Engagement,"Increase mobile app usage, digital servicing, and offer activation.",Earn rewards for activating a card-linked offer.,Digital,Core Customer; Underused Low-Risk Customer; Dormant but Recoverable,Risk Watch,Low,Low,2.81,0.0432,0.12,Digital activation,Safe campaign type; avoid customers with major risk guardrail triggers.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP035,Digital Wallet Enrollment,Digital Engagement,Digital Engagement,"Increase mobile app usage, digital servicing, and offer activation.",Earn a bonus for adding the card to a digital wallet.,Digital,Core Customer; Underused Low-Risk Customer; Dormant but Recoverable,Risk Watch,Low,Low,2.89,0.0448,0.1242,Digital activation,Safe campaign type; avoid customers with major risk guardrail triggers.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP036,Spend Alert Enrollment,Digital Engagement,Digital Engagement,"Increase mobile app usage, digital servicing, and offer activation.",Earn a small reward for setting up spend alerts.,Digital,Core Customer; Underused Low-Risk Customer; Dormant but Recoverable,Risk Watch,Low,Low,2.96,0.04,0.1284,Digital activation,Safe campaign type; avoid customers with major risk guardrail triggers.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP037,Credit Score Tool Engagement,Digital Engagement,Digital Engagement,"Increase mobile app usage, digital servicing, and offer activation.",Encourage use of the credit score monitoring tool.,Digital,Core Customer; Underused Low-Risk Customer; Dormant but Recoverable,Risk Watch,Low,Low,3.04,0.0416,0.12,Digital activation,Safe campaign type; avoid customers with major risk guardrail triggers.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP038,Mobile Payment Challenge,Digital Engagement,Digital Engagement,"Increase mobile app usage, digital servicing, and offer activation.",Use mobile wallet purchases to earn bonus rewards.,Digital,Core Customer; Underused Low-Risk Customer; Dormant but Recoverable,Risk Watch,Low,Low,3.11,0.0432,0.1242,Digital activation,Safe campaign type; avoid customers with major risk guardrail triggers.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP039,Online Account Setup,Digital Engagement,Digital Engagement,"Increase mobile app usage, digital servicing, and offer activation.",Encourage digital account setup and profile completion.,Digital,Core Customer; Underused Low-Risk Customer; Dormant but Recoverable,Risk Watch,Low,Low,3.19,0.0448,0.1284,Digital activation,Safe campaign type; avoid customers with major risk guardrail triggers.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP040,Security Feature Enrollment,Digital Engagement,Digital Engagement,"Increase mobile app usage, digital servicing, and offer activation.",Encourage customers to activate card lock or security alerts.,Digital,Core Customer; Underused Low-Risk Customer; Dormant but Recoverable,Risk Watch,Low,Low,3.26,0.04,0.12,Digital activation,Safe campaign type; avoid customers with major risk guardrail triggers.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP041,Three Purchase Reactivation,Dormant Reactivation,Reactivation,Reactivate customers with low recent card usage.,Use the card three times in 30 days to earn bonus rewards.,General Spend,Dormant but Recoverable; Underused Low-Risk Customer,Risk Watch,Low-Medium,Medium,6.39,0.0728,0.0642,Reactivation rate,Do not push additional spend to dormant customers with elevated risk or negative risk-adjusted profit.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP042,First Purchase Back Offer,Dormant Reactivation,Reactivation,Reactivate customers with low recent card usage.,Earn cashback after the first purchase in the campaign period.,General Spend,Dormant but Recoverable; Underused Low-Risk Customer,Risk Watch,Low-Medium,Medium,6.56,0.0756,0.06,Reactivation rate,Do not push additional spend to dormant customers with elevated risk or negative risk-adjusted profit.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP043,Dormant Grocery Restart,Dormant Reactivation,Reactivation,Reactivate customers with low recent card usage.,Earn grocery rewards after returning to card usage.,Grocery,Dormant but Recoverable; Underused Low-Risk Customer,Risk Watch,Low-Medium,Medium,6.74,0.0784,0.0621,Reactivation rate,Do not push additional spend to dormant customers with elevated risk or negative risk-adjusted profit.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP044,Dormant Digital Restart,Dormant Reactivation,Reactivation,Reactivate customers with low recent card usage.,Reactivate through app login and card use.,Digital,Dormant but Recoverable; Underused Low-Risk Customer,Risk Watch,Low-Medium,Medium,6.91,0.07,0.0642,Reactivation rate,Do not push additional spend to dormant customers with elevated risk or negative risk-adjusted profit.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP045,Dormant Small Spend Challenge,Dormant Reactivation,Reactivation,Reactivate customers with low recent card usage.,Make a small number of purchases to earn a reward.,General Spend,Dormant but Recoverable; Underused Low-Risk Customer,Risk Watch,Low-Medium,Medium,7.09,0.0728,0.06,Reactivation rate,Do not push additional spend to dormant customers with elevated risk or negative risk-adjusted profit.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP046,Dormant Merchant Comeback,Dormant Reactivation,Reactivation,Reactivate customers with low recent card usage.,Earn rewards at selected merchants after inactivity.,Merchant,Dormant but Recoverable; Underused Low-Risk Customer,Risk Watch,Low-Medium,Medium,7.26,0.0756,0.0621,Reactivation rate,Do not push additional spend to dormant customers with elevated risk or negative risk-adjusted profit.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP047,Dormant Bill Pay Restart,Dormant Reactivation,Reactivation,Reactivate customers with low recent card usage.,Use the card for bill pay to earn bonus rewards.,Utilities,Dormant but Recoverable; Underused Low-Risk Customer,Risk Watch,Low-Medium,Medium,7.44,0.0784,0.0642,Reactivation rate,Do not push additional spend to dormant customers with elevated risk or negative risk-adjusted profit.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP048,Dormant Everyday Spend Restart,Dormant Reactivation,Reactivation,Reactivate customers with low recent card usage.,Earn bonus rewards after returning to everyday spend.,General Spend,Dormant but Recoverable; Underused Low-Risk Customer,Risk Watch,Low-Medium,Medium,7.61,0.07,0.06,Reactivation rate,Do not push additional spend to dormant customers with elevated risk or negative risk-adjusted profit.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP049,Balance Transfer Offer,Balance and Revolver,Balance Transfer / Revolver,Grow balance-related revenue while controlling repayment risk.,Promotional balance transfer offer for selected customers.,Balance,Core Customer; Loyal High-Value Customer; High-Utilization Revolver,Risk Watch,High,High,12.78,0.1248,0.0428,Risk-adjusted balance growth,"Strict default probability, late payment, utilization, and profitability guardrails required.",Test first with strict guardrails; Scale only after validation.,0.045,0.65,670,No,Yes,Yes
CMP050,Low APR Purchase Promo,Balance and Revolver,Balance Transfer / Revolver,Grow balance-related revenue while controlling repayment risk.,Promotional APR on purchases for a defined period.,Purchase APR,Core Customer; Loyal High-Value Customer; High-Utilization Revolver,Risk Watch,High,High,13.12,0.1296,0.04,Risk-adjusted balance growth,"Strict default probability, late payment, utilization, and profitability guardrails required.",Test first with strict guardrails; Scale only after validation.,0.045,0.65,670,No,Yes,Yes
CMP051,Planned Purchase Financing,Balance and Revolver,Balance Transfer / Revolver,Grow balance-related revenue while controlling repayment risk.,Promotional financing for planned larger purchases.,Purchase APR,Core Customer; Loyal High-Value Customer; High-Utilization Revolver,Risk Watch,High,High,13.47,0.1344,0.0414,Risk-adjusted balance growth,"Strict default probability, late payment, utilization, and profitability guardrails required.",Test first with strict guardrails; Scale only after validation.,0.045,0.65,670,No,Yes,Yes
CMP052,Revolver Value Offer,Balance and Revolver,Balance Transfer / Revolver,Grow balance-related revenue while controlling repayment risk.,Targeted offer for selected revolvers with acceptable risk.,Balance,Core Customer; Loyal High-Value Customer; High-Utilization Revolver,Risk Watch,High,High,13.83,0.12,0.0428,Risk-adjusted balance growth,"Strict default probability, late payment, utilization, and profitability guardrails required.",Test first with strict guardrails; Scale only after validation.,0.045,0.65,670,No,Yes,Yes
CMP053,APR Education and Planning,Balance and Revolver,Balance Transfer / Revolver,Grow balance-related revenue while controlling repayment risk.,Provide APR and repayment education before promotional use.,Education,Core Customer; Loyal High-Value Customer; High-Utilization Revolver,Risk Watch,High,High,14.17,0.1248,0.04,Risk-adjusted balance growth,"Strict default probability, late payment, utilization, and profitability guardrails required.",Test first with strict guardrails; Scale only after validation.,0.045,0.65,670,No,Yes,Yes
CMP054,Installment Plan Invitation,Balance and Revolver,Balance Transfer / Revolver,Grow balance-related revenue while controlling repayment risk.,Invite selected customers to use installment-style repayment options.,Installment,Core Customer; Loyal High-Value Customer; High-Utilization Revolver,Risk Watch,High,High,14.53,0.1296,0.0414,Risk-adjusted balance growth,"Strict default probability, late payment, utilization, and profitability guardrails required.",Test first with strict guardrails; Scale only after validation.,0.045,0.65,670,No,Yes,Yes
CMP055,Balance Consolidation Review,Balance and Revolver,Balance Transfer / Revolver,Grow balance-related revenue while controlling repayment risk.,Review selected customers for balance consolidation offers.,Balance,Core Customer; Loyal High-Value Customer; High-Utilization Revolver,Risk Watch,High,High,14.88,0.1344,0.0428,Risk-adjusted balance growth,"Strict default probability, late payment, utilization, and profitability guardrails required.",Test first with strict guardrails; Scale only after validation.,0.045,0.65,670,No,Yes,Yes
CMP056,Controlled Revolver Test,Balance and Revolver,Balance Transfer / Revolver,Grow balance-related revenue while controlling repayment risk.,Small controlled test for selected revolvers with strict guardrails.,Balance,Core Customer; Loyal High-Value Customer; High-Utilization Revolver,Risk Watch,High,High,15.22,0.12,0.04,Risk-adjusted balance growth,"Strict default probability, late payment, utilization, and profitability guardrails required.",Test first with strict guardrails; Scale only after validation.,0.045,0.65,670,No,Yes,Yes
CMP057,Credit Line Increase Review,Credit Line Strategy,Credit Line Review,Increase card usage capacity for strong customers while managing risk exposure.,Invite eligible customers to be reviewed for a potential credit line increase.,Credit Line,Loyal High-Value Customer; Premium Growth Candidate; Underused Low-Risk Customer,Risk Watch; High-Utilization Revolver,High,Very High,8.21,0.1144,0.0428,Spend lift without risk deterioration,"Require strong credit profile, stable utilization, low default probability, and no recent late payments.",Test first with strict guardrails; Scale only after validation.,0.03,0.45,700,No,Yes,Yes
CMP058,Low Utilization Capacity Review,Credit Line Strategy,Credit Line Review,Increase card usage capacity for strong customers while managing risk exposure.,Review low-utilization strong customers for capacity growth.,Credit Line,Loyal High-Value Customer; Premium Growth Candidate; Underused Low-Risk Customer,Risk Watch; High-Utilization Revolver,High,Very High,8.44,0.1188,0.04,Spend lift without risk deterioration,"Require strong credit profile, stable utilization, low default probability, and no recent late payments.",Test first with strict guardrails; Scale only after validation.,0.03,0.45,700,No,Yes,Yes
CMP059,Premium Capacity Review,Credit Line Strategy,Credit Line Review,Increase card usage capacity for strong customers while managing risk exposure.,Review premium customers for additional card capacity.,Credit Line,Loyal High-Value Customer; Premium Growth Candidate; Underused Low-Risk Customer,Risk Watch; High-Utilization Revolver,High,Very High,8.66,0.1232,0.0414,Spend lift without risk deterioration,"Require strong credit profile, stable utilization, low default probability, and no recent late payments.",Test first with strict guardrails; Scale only after validation.,0.03,0.45,700,No,Yes,Yes
CMP060,High-Score Line Review,Credit Line Strategy,Credit Line Review,Increase card usage capacity for strong customers while managing risk exposure.,Review strong credit score customers for line growth.,Credit Line,Loyal High-Value Customer; Premium Growth Candidate; Underused Low-Risk Customer,Risk Watch; High-Utilization Revolver,High,Very High,8.89,0.11,0.0428,Spend lift without risk deterioration,"Require strong credit profile, stable utilization, low default probability, and no recent late payments.",Test first with strict guardrails; Scale only after validation.,0.03,0.45,700,No,Yes,Yes
CMP061,Income-Supported Line Review,Credit Line Strategy,Credit Line Review,Increase card usage capacity for strong customers while managing risk exposure.,Review customers with strong income and repayment profile.,Credit Line,Loyal High-Value Customer; Premium Growth Candidate; Underused Low-Risk Customer,Risk Watch; High-Utilization Revolver,High,Very High,9.11,0.1144,0.04,Spend lift without risk deterioration,"Require strong credit profile, stable utilization, low default probability, and no recent late payments.",Test first with strict guardrails; Scale only after validation.,0.03,0.45,700,No,Yes,Yes
CMP062,Low-Risk Spend Capacity Offer,Credit Line Strategy,Credit Line Review,Increase card usage capacity for strong customers while managing risk exposure.,Invite low-risk high-spend customers for capacity review.,Credit Line,Loyal High-Value Customer; Premium Growth Candidate; Underused Low-Risk Customer,Risk Watch; High-Utilization Revolver,High,Very High,9.34,0.1188,0.0414,Spend lift without risk deterioration,"Require strong credit profile, stable utilization, low default probability, and no recent late payments.",Test first with strict guardrails; Scale only after validation.,0.03,0.45,700,No,Yes,Yes
