dashboard_recommendation_rank,model_score_rank,campaign_id,campaign_name,campaign_family,campaign_type,risk_level,recommended_rollout_decision,campaign_score,eligible_customers,scale_customers,test_customers,blocked_customers,eligible_rate,scale_rate,test_rate,block_rate,avg_predicted_response_rate,expected_incremental_spend,expected_campaign_cost,expected_campaign_profit,expected_campaign_roi,campaign_horizon_months,cost_per_customer,expected_lift_pct,response_rate_assumption,business_goal,offer_description,target_segments,excluded_segments,primary_success_metric,guardrail_notes,risk_sensitivity,customer_count,target_segment_customers,do_not_launch_customers
11,3,CMP066,Autopay Reminder Campaign,Balance Health,Protective Engagement,Protective,Scale,55.46497474242257,4629,2641,1988,196,0.4629,0.2641,0.1988,0.0196,0.11713510207388206,11181.289127375772,570.9559620375001,2360.9734416488473,4.135123544771356,6,2.34,0.0216,0.09,Reduce credit stress while maintaining customer engagement.,Encourage autopay setup for repayment stability.,High-Utilization Revolver; Core Customer,,Utilization reduction and repayment stability,This is not a spend-growth campaign. It is a protective engagement campaign.,Protective,10000,4744,5175
12,4,CMP068,Budgeting Support Message,Balance Health,Protective Engagement,Protective,Scale,55.38769756996929,4629,2661,1968,196,0.4629,0.2661,0.1968,0.0196,0.1253345592190538,11077.758672492662,644.8630393456874,2481.8364615985815,3.848625692855317,6,2.47,0.02,0.0963,Reduce credit stress while maintaining customer engagement.,Send budgeting and balance management education.,High-Utilization Revolver; Core Customer,,Utilization reduction and repayment stability,This is not a spend-growth campaign. It is a protective engagement campaign.,Protective,10000,4744,5175
13,5,CMP069,Utilization Awareness Message,Balance Health,Protective Engagement,Protective,Scale,54.054610212924146,4629,2576,2053,196,0.4629,0.2576,0.2053,0.0196,0.11713510207388206,10767.167307843334,617.31563416875,2309.723600825951,3.7415601889560484,6,2.53,0.0208,0.09,Reduce credit stress while maintaining customer engagement.,Explain utilization impact and balance management.,High-Utilization Revolver; Core Customer,,Utilization reduction and repayment stability,This is not a spend-growth campaign. It is a protective engagement campaign.,Protective,10000,4744,5175
14,6,CMP070,Minimum Payment Education,Balance Health,Protective Engagement,Protective,Scale,53.29538930760751,4629,2601,2028,196,0.4629,0.2601,0.2028,0.0196,0.12116975558976022,11566.422419540939,653.7228877974376,2379.195195349217,3.6394552489440053,6,2.59,0.0216,0.0931,Reduce credit stress while maintaining customer engagement.,Educate customers on repayment behavior and interest impact.,High-Utilization Revolver; Core Customer,,Utilization reduction and repayment stability,This is not a spend-growth campaign. It is a protective engagement campaign.,Protective,10000,4744,5175
15,7,CMP071,High Balance Digital Nudges,Balance Health,Protective Engagement,Protective,Scale,52.42551745840174,4629,2624,2005,196,0.4629,0.2624,0.2005,0.0196,0.1253345592190538,12407.08971319178,694.467888526125,2447.9290539183276,3.524898838898927,6,2.66,0.0224,0.0963,Reduce credit stress while maintaining customer engagement.,Send digital nudges for balance and payment management.,High-Utilization Revolver; Core Customer,,Utilization reduction and repayment stability,This is not a spend-growth campaign. It is a protective engagement campaign.,Protective,10000,4744,5175
16,8,CMP072,Payment Flexibility Awareness,Balance Health,Protective Engagement,Protective,Scale,50.94218182345716,4629,2527,2102,196,0.4629,0.2527,0.2102,0.0196,0.11713510207388206,10353.0454883109,663.6753063,2258.473760003055,3.402979949026702,6,2.72,0.02,0.09,Reduce credit stress while maintaining customer engagement.,Inform selected customers about payment planning tools.,High-Utilization Revolver; Core Customer,,Utilization reduction and repayment stability,This is not a spend-growth campaign. It is a protective engagement campaign.,Protective,10000,4744,5175
17,11,CMP083,Autopay Setup Campaign,Servicing and Enrollment,Servicing Engagement,Low,Scale,29.358864789078034,4621,1753,2868,2009,0.4621,0.1753,0.2868,0.2009,0.14930241084180915,19554.419319427478,599.20111357425,1081.9936463898543,1.805727028669447,6,1.93,0.0336,0.1138,"Improve repayment stability, digital servicing, and lower friction.",Encourage autopay enrollment.,Core Customer; High-Utilization Revolver; Dormant but Recoverable; Underused Low-Risk Customer,,Enrollment and servicing adoption,Useful for risk prevention and servicing. Not primarily a spend-growth campaign.,Low,10000,5632,3370
18,12,CMP084,Payment Alert Setup,Servicing and Enrollment,Servicing Engagement,Low,Scale,28.534786799041072,4621,1741,2880,2009,0.4621,0.1741,0.288,0.2009,0.1544191015472841,18057.644629492643,635.7914654107501,1080.040766886007,1.6987342951957554,6,1.98,0.03,0.1177,"Improve repayment stability, digital servicing, and lower friction.",Encourage payment reminders and alerts.,Core Customer; High-Utilization Revolver; Dormant but Recoverable; Underused Low-Risk Customer,,Enrollment and servicing adoption,Useful for risk prevention and servicing. Not primarily a spend-growth campaign.,Low,10000,5632,3370
19,13,CMP085,Fraud Alert Enrollment,Servicing and Enrollment,Servicing Engagement,Low,Scale,27.722797035173258,4621,1637,2984,2009,0.4621,0.1637,0.2984,0.2009,0.14431691733391042,17551.355527731168,606.2016237750001,1004.5382086864889,1.6571024710077926,6,2.02,0.0312,0.11,"Improve repayment stability, digital servicing, and lower friction.",Encourage fraud alert and account security enrollment.,Core Customer; High-Utilization Revolver; Dormant but Recoverable; Underused Low-Risk Customer,,Enrollment and servicing adoption,Useful for risk prevention and servicing. Not primarily a spend-growth campaign.,Low,10000,5632,3370
20,14,CMP086,Profile Completion Campaign,Servicing and Enrollment,Servicing Engagement,Low,Scale,27.324682608940293,4621,1667,2954,2009,0.4621,0.1667,0.2954,0.2009,0.14930241084180915,18856.047200876495,645.771148308,1028.0180177382222,1.591923114607638,6,2.08,0.0324,0.1138,"Improve repayment stability, digital servicing, and lower friction.",Encourage customers to complete account profile details.,Core Customer; High-Utilization Revolver; Dormant but Recoverable; Underused Low-Risk Customer,,Enrollment and servicing adoption,Useful for risk prevention and servicing. Not primarily a spend-growth campaign.,Low,10000,5632,3370
21,15,CMP087,Communication Preference Update,Servicing and Enrollment,Servicing Engagement,Low,Scale,27.193464292981773,4621,1709,2912,2009,0.4621,0.1709,0.2912,0.2009,0.1544191015472841,20224.56198503176,680.7464175105001,1058.0639800973654,1.5542703610056756,6,2.12,0.0336,0.1177,"Improve repayment stability, digital servicing, and lower friction.",Encourage customers to update preferred communication channels.,Core Customer; High-Utilization Revolver; Dormant but Recoverable; Underused Low-Risk Customer,,Enrollment and servicing adoption,Useful for risk prevention and servicing. Not primarily a spend-growth campaign.,Low,10000,5632,3370
22,16,CMP088,Account Health Check,Servicing and Enrollment,Servicing Engagement,Low,Scale,25.888709422119756,4621,1574,3047,2009,0.4621,0.1574,0.3047,0.2009,0.14431691733391042,16876.3033920492,651.2165958375,952.3649296734881,1.462439587321473,6,2.17,0.03,0.11,"Improve repayment stability, digital servicing, and lower friction.",Encourage customers to review account health and settings.,Core Customer; High-Utilization Revolver; Dormant but Recoverable; Underused Low-Risk Customer,,Enrollment and servicing adoption,Useful for risk prevention and servicing. Not primarily a spend-growth campaign.,Low,10000,5632,3370
23,21,CMP049,Balance Transfer Offer,Balance and Revolver,Balance Transfer / Revolver,High,Constrain,17.38729013723998,2442,2174,196,6862,0.2442,0.2174,0.0196,0.6862,0.056623900491400495,327096.1505648679,1767.1617207,4983.175392473917,2.8198751331598584,6,12.78,0.1248,0.0428,Grow balance-related revenue while controlling repayment risk.,Promotional balance transfer offer for selected customers.,Core Customer; Loyal High-Value Customer; High-Utilization Revolver,Risk Watch,Risk-adjusted balance growth,"Strict default probability, late payment, utilization, and profitability guardrails required.",High,10000,8143,768
24,22,CMP028,Food Delivery Partner Offer,Merchant Offers,Merchant-Funded Offer,Low,Do Not Launch,16.067272537475937,6992,669,6026,2038,0.6992,0.0669,0.6026,0.2038,0.14143641661899312,101417.59602675002,1171.874258625,-155.51815573109235,-0.1327089101808304,3,3.95,0.05,0.107,Drive spend at selected merchants through targeted card-linked offers.,Earn cashback with selected food delivery partners.,Core Customer; Loyal High-Value Customer; Underused Low-Risk Customer; Premium Growth Candidate,Risk Watch,Offer activation and merchant spend,"Low credit-risk impact, but still exclude very high risk customers.",Low,10000,8480,1267
25,23,CMP032,Back-to-School Merchant Offer,Merchant Offers,Merchant-Funded Offer,Low,Do Not Launch,15.855067384723293,6992,683,5962,2038,0.6992,0.0683,0.5962,0.2038,0.13218356693363847,105872.828476875,1206.1168875,-148.31225256379673,-0.12296673241282075,3,4.35,0.05,0.1,Drive spend at selected merchants through targeted card-linked offers.,Earn rewards at school supply and retail partners.,Core Customer; Loyal High-Value Customer; Underused Low-Risk Customer; Premium Growth Candidate,Risk Watch,Offer activation and merchant spend,"Low credit-risk impact, but still exclude very high risk customers.",Low,10000,8480,1317
26,24,CMP027,Rideshare Partner Offer,Merchant Offers,Merchant-Funded Offer,Low,Do Not Launch,15.570183830465242,6992,606,6152,2038,0.6992,0.0606,0.6152,0.2038,0.1368099917763158,92531.90848330798,1104.8446591875,-187.03020884727795,-0.16928190519092476,3,3.85,0.056,0.1035,Drive spend at selected merchants through targeted card-linked offers.,Earn cashback on rideshare purchases.,Core Customer; Loyal High-Value Customer; Underused Low-Risk Customer; Premium Growth Candidate,Risk Watch,Offer activation and merchant spend,"Low credit-risk impact, but still exclude very high risk customers.",Low,10000,8480,1204
27,25,CMP026,Streaming Subscription Offer,Merchant Offers,Merchant-Funded Offer,Low,Do Not Launch,15.101540686073752,6992,254,6509,2038,0.6992,0.0254,0.6509,0.2038,0.13218356693363847,87772.3325797545,1039.7559375,-166.08434930477125,-0.15973397536358983,3,3.75,0.054,0.1,Drive spend at selected merchants through targeted card-linked offers.,Earn statement credit on streaming subscriptions.,Core Customer; Loyal High-Value Customer; Underused Low-Risk Customer; Premium Growth Candidate,Risk Watch,Offer activation and merchant spend,"Low credit-risk impact, but still exclude very high risk customers.",Low,10000,8480,1199
28,26,CMP055,Balance Consolidation Review,Balance and Revolver,Balance Transfer / Revolver,High,Constrain,14.769751489543545,2442,2134,214,6862,0.2442,0.2134,0.0214,0.6862,0.056623900491400495,352257.39291601157,2057.5404072,5212.053406987294,2.5331475332142355,6,14.88,0.1344,0.0428,Grow balance-related revenue while controlling repayment risk.,Review selected customers for balance consolidation offers.,Core Customer; Loyal High-Value Customer; High-Utilization Revolver,Risk Watch,Risk-adjusted balance growth,"Strict default probability, late payment, utilization, and profitability guardrails required.",High,10000,8143,790
29,27,CMP030,Home Improvement Offer,Merchant Offers,Merchant-Funded Offer,Low,Do Not Launch,14.376352713233887,6992,230,6419,2038,0.6992,0.023,0.6419,0.2038,0.1368099917763158,90844.36422004589,1190.9364508125,-286.6863570304384,-0.2407234717140873,3,4.15,0.054,0.1035,Drive spend at selected merchants through targeted card-linked offers.,Earn cashback at home improvement merchants.,Core Customer; Loyal High-Value Customer; Underused Low-Risk Customer; Premium Growth Candidate,Risk Watch,Offer activation and merchant spend,"Low credit-risk impact, but still exclude very high risk customers.",Low,10000,8480,1313
30,28,CMP054,Installment Plan Invitation,Balance and Revolver,Balance Transfer / Revolver,High,Constrain,14.250685486321977,2442,2115,237,6862,0.2442,0.2115,0.0237,0.6862,0.05477171683046684,328565.84930033184,1943.424297225,4837.243230727735,2.489030953063001,6,14.53,0.1296,0.0414,Grow balance-related revenue while controlling repayment risk.,Invite selected customers to use installment-style repayment options.,Core Customer; Loyal High-Value Customer; High-Utilization Revolver,Risk Watch,Risk-adjusted balance growth,"Strict default probability, late payment, utilization, and profitability guardrails required.",High,10000,8143,786
31,29,CMP029,Fitness Partner Offer,Merchant Offers,Merchant-Funded Offer,Low,Do Not Launch,14.147579635441348,6992,182,6539,2038,0.6992,0.0182,0.6539,0.2038,0.13218356693363847,84521.50544717099,1122.9364125,-281.6230312749649,-0.250791610406493,3,4.05,0.052,0.1,Drive spend at selected merchants through targeted card-linked offers.,Earn rewards with selected fitness or wellness merchants.,Core Customer; Loyal High-Value Customer; Underused Low-Risk Customer; Premium Growth Candidate,Risk Watch,Offer activation and merchant spend,"Low credit-risk impact, but still exclude very high risk customers.",Low,10000,8480,1241
32,30,CMP052,Revolver Value Offer,Balance and Revolver,Balance Transfer / Revolver,High,Constrain,13.385102392305463,2442,2091,254,6862,0.2442,0.2091,0.0254,0.6862,0.056623900491400495,314515.529389296,1912.35106395,4578.357698717227,2.394098962802644,6,13.83,0.12,0.0428,Grow balance-related revenue while controlling repayment risk.,Targeted offer for selected revolvers with acceptable risk.,Core Customer; Loyal High-Value Customer; High-Utilization Revolver,Risk Watch,Risk-adjusted balance growth,"Strict default probability, late payment, utilization, and profitability guardrails required.",High,10000,8143,793
33,31,CMP056,Controlled Revolver Test,Balance and Revolver,Balance Transfer / Revolver,High,Constrain,10.317115880756862,2442,2025,285,6862,0.2442,0.2025,0.0285,0.6862,0.052919533169533184,293939.74709280004,1966.8729900000003,4099.209965763763,2.0841254044389323,6,15.22,0.12,0.04,Grow balance-related revenue while controlling repayment risk.,Small controlled test for selected revolvers with strict guardrails.,Core Customer; Loyal High-Value Customer; High-Utilization Revolver,Risk Watch,Risk-adjusted balance growth,"Strict default probability, late payment, utilization, and profitability guardrails required.",High,10000,8143,828
34,32,CMP033,Mobile App Activation,Digital Engagement,Digital Engagement,Low,Do Not Launch,3.5262823114474156,4350,0,3620,2038,0.435,0.0,0.362,0.2038,0.1690175689655172,25657.528747309054,906.5341820250001,-652.9290911938928,-0.7202476245687628,6,2.74,0.0416,0.1284,"Increase mobile app usage, digital servicing, and offer activation.",Earn a small reward after logging into the mobile app.,Core Customer; Underused Low-Risk Customer; Dormant but Recoverable,Risk Watch,Digital activation,Safe campaign type; avoid customers with major risk guardrail triggers.,Low,10000,5101,4342
35,33,CMP034,Card-Linked Offer Activation,Digital Engagement,Digital Engagement,Low,Do Not Launch,3.387643645742049,4350,0,3817,2038,0.435,0.0,0.3817,0.2038,0.1579603448275862,24901.268015001602,868.87272375,-622.7426931087384,-0.716724873605216,6,2.81,0.0432,0.12,"Increase mobile app usage, digital servicing, and offer activation.",Earn rewards for activating a card-linked offer.,Core Customer; Underused Low-Risk Customer; Dormant but Recoverable,Risk Watch,Digital activation,Safe campaign type; avoid customers with major risk guardrail triggers.,Low,10000,5101,4145
36,34,CMP035,Digital Wallet Enrollment,Digital Engagement,Digital Engagement,Low,Do Not Launch,3.322794051484273,4350,0,3508,2038,0.435,0.0,0.3508,0.2038,0.16348895689655174,26727.361002768383,924.88563973125,-660.7060735096293,-0.7143651551359528,6,2.89,0.0448,0.1242,"Increase mobile app usage, digital servicing, and offer activation.",Earn a bonus for adding the card to a digital wallet.,Core Customer; Underused Low-Risk Customer; Dormant but Recoverable,Risk Watch,Digital activation,Safe campaign type; avoid customers with major risk guardrail triggers.,Low,10000,5101,4454
37,35,CMP036,Spend Alert Enrollment,Digital Engagement,Digital Engagement,Low,Do Not Launch,2.7247929833343267,4350,0,2977,2038,0.435,0.0,0.2977,0.2038,0.1690175689655172,24670.700718566397,979.3215981000001,-735.4705492239352,-0.7510000296642443,6,2.96,0.04,0.1284,"Increase mobile app usage, digital servicing, and offer activation.",Earn a small reward for setting up spend alerts.,Core Customer; Underused Low-Risk Customer; Dormant but Recoverable,Risk Watch,Digital activation,Safe campaign type; avoid customers with major risk guardrail triggers.,Low,10000,5101,4985
38,36,CMP037,Credit Score Tool Engagement,Digital Engagement,Digital Engagement,Low,Do Not Launch,2.699045403345643,4350,0,3319,2038,0.435,0.0,0.3319,0.2038,0.1579603448275862,23978.998829260796,939.9904200000001,-702.9763164195258,-0.7478547668810558,6,3.04,0.0416,0.12,"Increase mobile app usage, digital servicing, and offer activation.",Encourage use of the credit score monitoring tool.,Core Customer; Underused Low-Risk Customer; Dormant but Recoverable,Risk Watch,Digital activation,Safe campaign type; avoid customers with major risk guardrail triggers.,Low,10000,5101,4643
39,37,CMP038,Mobile Payment Challenge,Digital Engagement,Digital Engagement,Low,Do Not Launch,2.54564622324599,4350,0,2883,2038,0.435,0.0,0.2883,0.2038,0.16348895689655174,25772.812395526656,995.2921590187499,-740.5475773050441,-0.7440504484986034,6,3.11,0.0432,0.1242,"Increase mobile app usage, digital servicing, and offer activation.",Use mobile wallet purchases to earn bonus rewards.,Core Customer; Underused Low-Risk Customer; Dormant but Recoverable,Risk Watch,Digital activation,Safe campaign type; avoid customers with major risk guardrail triggers.,Low,10000,5101,5079
40,38,CMP039,Online Account Setup,Digital Engagement,Digital Engagement,Low,Do Not Launch,2.3876927279069857,4350,0,2453,2038,0.435,0.0,0.2453,0.2038,0.1690175689655172,27631.184804794364,1055.4175330875,-782.3043583463074,-0.7412273662516936,6,3.19,0.0448,0.1284,"Increase mobile app usage, digital servicing, and offer activation.",Encourage digital account setup and profile completion.,Core Customer; Underused Low-Risk Customer; Dormant but Recoverable,Risk Watch,Digital activation,Safe campaign type; avoid customers with major risk guardrail triggers.,Low,10000,5101,5509
41,40,CMP001,Grocery Cashback Booster,Everyday Spend,Category Cashback,Low,Do Not Launch,2.052628744960746,6600,9,232,2038,0.66,0.0009,0.0232,0.2038,0.1272013568181818,123613.76870713259,3828.2520347999994,-3287.884234440227,-0.8588473811421867,3,4.56,0.0624,0.0963,Increase everyday card spend in routine categories.,Earn bonus cashback on grocery purchases for 30 days.,Core Customer; Underused Low-Risk Customer; Loyal High-Value Customer,Risk Watch,Incremental category spend,Exclude very high risk customers and customers with recent delinquency.,Low,10000,7696,7721
42,41,CMP040,Security Feature Enrollment,Digital Engagement,Digital Engagement,Low,Do Not Launch,1.8948683753053617,4350,0,2619,2038,0.435,0.0,0.2619,0.2038,0.1579603448275862,23056.72964352,1008.0160424999999,-780.1178659803132,-0.7739141373638538,6,3.26,0.04,0.12,"Increase mobile app usage, digital servicing, and offer activation.",Encourage customers to activate card lock or security alerts.,Core Customer; Underused Low-Risk Customer; Dormant but Recoverable,Risk Watch,Digital activation,Safe campaign type; avoid customers with major risk guardrail triggers.,Low,10000,5101,5343
43,43,CMP057,Credit Line Increase Review,Credit Line Strategy,Credit Line Review,High,Constrain,1.7112299932332675,1056,1001,52,8191,0.1056,0.1001,0.0052,0.8191,0.05707477272727273,86329.57639402841,494.8245816000001,1036.9198560619952,2.0955302032674825,6,8.21,0.1144,0.0428,Increase card usage capacity for strong customers while managing risk exposure.,Invite eligible customers to be reviewed for a potential credit line increase.,Loyal High-Value Customer; Premium Growth Candidate; Underused Low-Risk Customer,Risk Watch; High-Utilization Revolver,Spend lift without risk deterioration,"Require strong credit profile, stable utilization, low default probability, and no recent late payments.",Very High,10000,4267,756
44,44,CMP004,Online Shopping Booster,Everyday Spend,Category Cashback,Low,Do Not Launch,1.66486349961664,6600,4,94,2038,0.66,0.0004,0.0094,0.2038,0.1272013568181818,109501.07511266775,4147.2730377,-3663.445927612771,-0.8833384959974686,3,4.94,0.06,0.0963,Increase everyday card spend in routine categories.,Earn bonus cashback on online shopping purchases for 30 days.,Core Customer; Underused Low-Risk Customer; Loyal High-Value Customer,Risk Watch,Incremental category spend,Exclude very high risk customers and customers with recent delinquency.,Low,10000,7696,7864
45,45,CMP003,Pharmacy Spend Booster,Everyday Spend,Category Cashback,Low,Do Not Launch,1.3559424478733337,6600,0,4,2038,0.66,0.0,0.0004,0.2038,0.12297452045454547,91429.34192543295,3903.9491263500004,-3501.580211520706,-0.8969328488136603,3,4.81,0.0672,0.0931,Increase everyday card spend in routine categories.,Earn bonus cashback on pharmacy purchases for 30 days.,Core Customer; Underused Low-Risk Customer; Loyal High-Value Customer,Risk Watch,Incremental category spend,Exclude very high risk customers and customers with recent delinquency.,Low,10000,7696,7958
46,46,CMP007,Weekend Spend Booster,Everyday Spend,Category Cashback,Low,Do Not Launch,1.324687552423347,6600,0,0,2038,0.66,0.0,0.0,0.2038,0.1272013568181818,94571.91866186027,4457.898751049999,-4041.699755367282,-0.9066378536334664,3,5.31,0.0672,0.0963,Increase everyday card spend in routine categories.,Earn bonus rewards on weekend purchases.,Core Customer; Underused Low-Risk Customer; Loyal High-Value Customer,Risk Watch,Incremental category spend,Exclude very high risk customers and customers with recent delinquency.,Low,10000,7696,7962
47,47,CMP002,Gas Spend Booster,Everyday Spend,Category Cashback,Low,Do Not Launch,1.3215687914025693,6600,6,101,2038,0.66,0.0006,0.0101,0.2038,0.11887977272727272,84110.564477142,3679.804485,-3310.752917275354,-0.8997089195284661,3,4.69,0.0648,0.09,Increase everyday card spend in routine categories.,Earn bonus cashback on gas and fuel purchases for 30 days.,Core Customer; Underused Low-Risk Customer; Loyal High-Value Customer,Risk Watch,Incremental category spend,Exclude very high risk customers and customers with recent delinquency.,Low,10000,7696,7855
48,48,CMP006,Everyday Essentials Booster,Everyday Spend,Category Cashback,Low,Do Not Launch,1.2145734465424045,6600,0,1,2038,0.66,0.0,0.0001,0.2038,0.12297452045454547,88164.0082852389,4212.369223650001,-3824.3706272074674,-0.9078906487436696,3,5.19,0.0648,0.0931,Increase everyday card spend in routine categories.,Earn bonus rewards on daily essentials purchases.,Core Customer; Underused Low-Risk Customer; Loyal High-Value Customer,Risk Watch,Incremental category spend,Exclude very high risk customers and customers with recent delinquency.,Low,10000,7696,7961
49,49,CMP008,Local Merchant Booster,Everyday Spend,Category Cashback,Low,Do Not Launch,0.9821759126812282,6600,0,0,2038,0.66,0.0,0.0,0.2038,0.11887977272727272,78915.1524214455,4268.25936,-3920.963802854875,-0.9186329770866771,3,5.44,0.06,0.09,Increase everyday card spend in routine categories.,Earn cashback at selected local merchants.,Core Customer; Underused Low-Risk Customer; Loyal High-Value Customer,Risk Watch,Incremental category spend,Exclude very high risk customers and customers with recent delinquency.,Low,10000,7696,7962
