customer_id,age,income,employment_status,state,customer_tenure_months,card_type,rewards_preference,credit_score,credit_limit,current_balance,utilization_rate,revolver_flag,revolving_balance,payment_ratio,late_payments_12m,delinquency_flag,default_probability,risk_band,monthly_spend,transactions_count,avg_transaction_amount,grocery_spend,dining_spend,travel_spend,gas_spend,online_spend,inactive_flag,interchange_revenue,interest_revenue,rewards_cost,expected_credit_loss,risk_adjusted_profit,expected_spend_lift,expected_incremental_profit,expected_roi,customer_segment,recommended_action,offer_type,decision_status,ab_test_group,spend_to_income_ratio,balance_to_income_ratio,risk_adjusted_margin,utilization_band,profitability_band,roi_band,campaign_eligible_flag,risk_guardrail_flag
100010,46,108588.62,Full-Time,TX,64,Platinum,Cashback,693,26946.84,6709.76,0.249,1,6005.0,0.4817,0,0,0.006,Low Risk,4531.34,62,73.09,1181.62,713.84,246.5,1539.6,849.78,0,81.56,122.6,45.31,2.42,156.43,0.1175,191.75,40.8849,Loyal High-Value Customer,Retention Loyalty Benefit,Statement Credit / Loyalty Perk,Scale,Control,0.0417,0.0618,0.0345,Low Utilization,High Profit,High ROI,1,0
100011,68,83695.08,Full-Time,NY,11,Quicksilver,Grocery,713,23506.66,15218.21,0.6474,1,8588.5,0.7219,2,0,0.0389,Moderate Risk,3415.36,47,72.67,1238.83,1151.05,239.11,420.27,366.1,0,61.48,175.35,58.06,35.52,143.25,0.1118,105.05,16.3375,High-Utilization Revolver,Payment Health Messaging,Financial Health Nudge,Test,Treatment,0.0408,0.1818,0.0419,High Utilization,High Profit,Moderate ROI,1,0
100012,57,35730.44,Retired,NY,37,Platinum,Cashback,646,17671.53,8183.69,0.4631,0,0.0,0.2545,0,0,0.0197,Low Risk,1880.31,25,75.21,682.27,333.88,141.95,335.69,386.52,0,33.85,0.0,18.8,9.67,5.38,0.1073,-20.43,-3.7624,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Do Not Launch,Not Eligible,0.0526,0.229,0.0029,Moderate Utilization,Low Profit,Negative ROI,0,0
100013,58,41651.91,Full-Time,NJ,73,Platinum,Grocery,627,20056.68,3734.55,0.1862,1,2445.29,0.6247,2,0,0.0263,Low Risk,229.98,3,76.66,63.92,20.08,8.93,57.79,79.26,1,4.14,49.92,2.3,5.89,45.87,0.1642,89.66,24.2324,Dormant but Recoverable,Reactivation Bonus,$50 Spend Reactivation Bonus,Scale,Treatment,0.0055,0.0897,0.1995,Low Utilization,Moderate Profit,High ROI,1,0
100014,56,46624.89,Full-Time,GA,114,Platinum,Cashback,630,12505.24,4708.22,0.3765,1,3914.28,0.654,1,0,0.0317,Moderate Risk,1334.38,17,78.49,120.24,367.89,515.08,250.88,80.29,0,24.02,79.92,13.34,8.96,81.64,0.0798,53.07,11.4129,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Scale,Treatment,0.0286,0.101,0.0612,Moderate Utilization,Moderate Profit,Moderate ROI,1,0
100015,59,46210.82,Full-Time,TX,74,Platinum,Grocery,558,9577.87,3176.98,0.3317,1,1596.02,0.146,3,0,0.0954,High Risk,3586.02,63,56.92,1345.71,1931.14,139.82,53.31,116.04,0,64.55,32.59,35.86,18.19,43.09,0.0938,-211.12,-72.3014,Risk Watch,No Growth Offer,No Offer,Block,Not Eligible,0.0776,0.0687,0.012,Moderate Utilization,Moderate Profit,Negative ROI,0,1
100016,46,63708.82,Full-Time,MA,91,Platinum,Cashback,738,22649.15,13338.08,0.5889,0,0.0,0.5556,0,0,0.0109,Low Risk,1323.76,18,73.54,418.32,371.36,42.47,309.54,182.07,0,23.83,0.0,13.24,8.72,1.87,0.1151,-5.53,-0.9584,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Do Not Launch,Not Eligible,0.0208,0.2094,0.0014,Moderate Utilization,Low Profit,Negative ROI,0,0
100017,27,85660.79,Full-Time,NC,39,Platinum,Cashback,596,14353.94,4644.93,0.3236,0,0.0,0.3998,1,0,0.0199,Low Risk,2224.13,26,85.54,704.71,375.12,184.54,329.72,630.04,0,40.03,0.0,22.24,5.55,12.24,0.1143,-24.13,-4.8945,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Do Not Launch,Not Eligible,0.026,0.0542,0.0055,Moderate Utilization,Low Profit,Negative ROI,0,0
100018,62,112102.23,Full-Time,NJ,9,Quicksilver,Grocery,738,25859.38,10633.38,0.4112,0,0.0,0.8128,0,0,0.0046,Low Risk,1459.96,25,58.4,617.81,417.57,15.02,276.1,133.46,1,26.28,0.0,24.82,2.93,-1.47,0.1511,-10.02,-2.5692,Dormant but Recoverable,Reactivation Bonus,$50 Spend Reactivation Bonus,Do Not Launch,Not Eligible,0.013,0.0949,-0.001,Moderate Utilization,Negative Profit,Negative ROI,0,0
100019,43,75314.92,Full-Time,MA,47,Platinum,Cashback,680,23732.45,11268.17,0.4748,0,0.0,0.5196,0,0,0.0118,Low Risk,5717.11,65,87.96,696.7,1483.21,509.33,993.72,2034.16,0,102.91,0.0,57.17,7.98,37.76,0.0865,-8.55,-1.5405,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Do Not Launch,Not Eligible,0.0759,0.1496,0.0066,Moderate Utilization,Moderate Profit,Negative ROI,0,0
100020,45,54875.08,Full-Time,VA,84,Secured,Cashback,644,16498.12,3974.4,0.2409,1,2476.68,0.353,0,0,0.0127,Low Risk,2575.58,57,45.19,964.85,576.72,358.65,151.05,524.31,0,46.36,50.57,15.45,3.03,78.45,0.1046,71.22,47.48,Loyal High-Value Customer,Retention Loyalty Benefit,Statement Credit / Loyalty Perk,Scale,Control,0.0469,0.0724,0.0305,Low Utilization,Moderate Profit,High ROI,1,0
100021,39,27596.9,Full-Time,NC,8,Secured,Travel,626,19121.41,4610.17,0.2411,0,0.0,0.5087,0,0,0.0125,Low Risk,947.0,14,67.64,206.65,91.42,200.02,22.77,426.14,0,17.05,0.0,5.68,3.46,7.91,0.1506,1.02,0.2464,Underused Low-Risk Customer,Category Cashback Accelerator,3% Grocery/Dining Cashback,Test,Treatment,0.0343,0.1671,0.0084,Low Utilization,Low Profit,Low ROI,1,0
100022,29,68162.35,Part-Time,TX,105,Platinum,Dining,641,16102.18,8543.82,0.5306,1,8051.17,0.3468,2,0,0.0552,Moderate Risk,1355.23,18,75.29,186.26,300.74,459.09,65.03,344.1,1,24.39,164.38,13.55,28.3,146.92,0.1667,237.37,44.039,Dormant but Recoverable,Reactivation Bonus,$50 Spend Reactivation Bonus,Scale,Treatment,0.0199,0.1253,0.1084,Moderate Utilization,High Profit,High ROI,1,0
100023,66,66891.25,Full-Time,MA,37,Quicksilver,Dining,699,24551.5,6906.34,0.2813,1,5257.11,0.5223,1,0,0.0116,Low Risk,3855.74,62,62.19,1163.16,931.01,188.93,1195.63,377.01,0,69.4,107.33,65.55,4.81,106.37,0.1323,121.35,29.963,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Scale,Treatment,0.0576,0.1032,0.0276,Low Utilization,High Profit,High ROI,1,0
100024,59,71455.49,Part-Time,FL,84,Secured,Cashback,615,20088.81,8415.2,0.4189,0,0.0,0.345,1,1,0.0248,Low Risk,3619.71,58,62.41,921.14,786.08,160.94,928.25,823.3,0,65.15,0.0,21.72,12.52,30.91,0.0908,-25.74,-9.5333,Loyal High-Value Customer,Retention Loyalty Benefit,Statement Credit / Loyalty Perk,Do Not Launch,Not Eligible,0.0507,0.1178,0.0085,Moderate Utilization,Moderate Profit,Negative ROI,0,0
100025,52,160270.92,Full-Time,CA,107,Savor,Low APR,786,33704.27,5099.46,0.1513,0,0.0,0.7323,0,0,0.002,Low Risk,5892.65,121,48.7,577.05,1513.39,569.25,564.45,2668.52,0,106.07,0.0,141.42,0.61,-35.96,0.0782,-46.52,-8.6791,Premium Growth Candidate,Premium Upgrade Offer,Travel Rewards Upgrade,Do Not Launch,Not Eligible,0.0368,0.0318,-0.0061,Low Utilization,Negative Profit,Negative ROI,0,0
100026,40,111418.71,Student,MA,75,Savor,Cashback,687,24686.54,246.87,0.01,0,0.0,0.8895,1,0,0.0029,Low Risk,6285.69,92,68.32,156.04,2822.66,210.99,2020.86,1075.14,0,113.14,0.0,150.86,0.04,-37.76,0.1106,-74.62,-10.3928,Loyal High-Value Customer,Retention Loyalty Benefit,Statement Credit / Loyalty Perk,Do Not Launch,Not Eligible,0.0564,0.0022,-0.006,Low Utilization,Negative Profit,Negative ROI,0,0
100027,61,92016.72,Full-Time,IL,23,Platinum,Grocery,677,23573.43,7418.56,0.3147,0,0.0,0.6571,1,0,0.0093,Low Risk,5343.13,59,90.56,1258.88,1264.91,390.82,1617.9,810.62,0,96.18,0.0,53.43,4.14,38.61,0.118,5.55,1.2585,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Test,Treatment,0.0581,0.0806,0.0072,Moderate Utilization,Moderate Profit,Low ROI,1,0
100028,47,44175.59,Self-Employed,IL,33,Platinum,Dining,626,12831.78,7634.91,0.595,1,4978.16,0.3649,1,0,0.0635,Moderate Risk,1101.62,15,73.44,167.23,215.38,157.84,361.48,199.68,0,19.83,101.64,11.02,29.09,81.36,0.1208,83.31,21.1985,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Scale,Treatment,0.0249,0.1728,0.0739,Moderate Utilization,Moderate Profit,High ROI,1,0
100029,42,53345.36,Student,GA,58,Secured,Cashback,647,20481.91,3166.5,0.1546,0,0.0,0.5501,0,0,0.0068,Low Risk,1444.52,17,84.97,196.82,472.41,582.63,110.75,81.92,0,26.0,0.0,8.67,1.29,16.04,0.11,11.27,4.9214,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Test,Treatment,0.0271,0.0594,0.0111,Low Utilization,Low Profit,Low ROI,1,0
100030,43,63587.06,Retired,MA,118,Platinum,Dining,688,17778.59,8147.93,0.4583,0,0.0,0.4373,2,0,0.022,Low Risk,3265.24,38,85.93,680.18,1566.94,4.69,490.5,522.92,0,58.77,0.0,32.65,10.76,15.36,0.1279,-42.06,-15.5778,Loyal High-Value Customer,Retention Loyalty Benefit,Statement Credit / Loyalty Perk,Do Not Launch,Not Eligible,0.0514,0.1281,0.0047,Moderate Utilization,Low Profit,Negative ROI,0,0
100031,32,47778.4,Self-Employed,VA,82,Platinum,Travel,647,14575.62,5487.72,0.3765,1,2519.86,0.7016,1,0,0.0273,Low Risk,1481.74,18,82.32,438.02,576.27,8.81,219.36,239.28,0,26.67,51.45,14.82,8.99,54.31,0.1421,54.66,15.4407,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Scale,Treatment,0.031,0.1149,0.0367,Moderate Utilization,Moderate Profit,Moderate ROI,1,0
100032,25,81649.84,Full-Time,GA,75,Quicksilver,Dining,727,22512.84,2728.56,0.1212,0,0.0,0.9109,0,0,0.0025,Low Risk,3784.13,49,77.23,1118.63,1073.89,128.91,493.91,968.79,0,68.11,0.0,64.33,0.41,3.37,0.1706,-10.69,-2.3392,Loyal High-Value Customer,Retention Loyalty Benefit,Statement Credit / Loyalty Perk,Do Not Launch,Not Eligible,0.0463,0.0334,0.0009,Low Utilization,Low Profit,Negative ROI,0,0
100033,48,76872.36,Retired,CA,97,Quicksilver,Dining,727,23967.92,8010.08,0.3342,1,5689.91,0.6686,0,0,0.0071,Low Risk,2086.25,43,48.52,750.7,332.4,22.14,251.9,729.1,0,37.55,116.17,35.47,3.41,114.84,0.1346,169.29,37.8725,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Scale,Treatment,0.0271,0.1042,0.055,Moderate Utilization,High Profit,High ROI,1,0
100034,64,41894.54,Self-Employed,NY,19,Platinum,Travel,656,16811.15,6741.27,0.401,1,4014.59,0.3669,1,0,0.0283,Low Risk,3417.26,42,81.36,161.99,463.66,368.1,2002.76,420.75,0,61.51,81.96,34.17,11.45,97.85,0.1243,53.82,10.0787,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Scale,Treatment,0.0816,0.1609,0.0286,Moderate Utilization,Moderate Profit,Moderate ROI,1,0
100035,24,109388.72,Full-Time,FL,12,Venture,Dining,746,25650.08,10755.08,0.4193,0,0.0,0.67,0,0,0.0045,Low Risk,4168.94,48,86.85,975.39,940.92,372.07,1059.54,821.03,0,75.04,0.0,91.72,2.9,-19.58,0.1288,-53.22,-7.991,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Do Not Launch,Not Eligible,0.0381,0.0983,-0.0047,Moderate Utilization,Negative Profit,Negative ROI,0,0
100036,63,69076.53,Full-Time,VA,71,Savor,Cashback,763,24838.24,4376.5,0.1762,0,0.0,1.0,0,0,0.0024,Low Risk,4469.33,68,65.73,916.7,1253.75,76.26,1772.89,449.73,0,80.45,0.0,107.26,0.63,-27.44,0.1151,-54.05,-8.593,Loyal High-Value Customer,Retention Loyalty Benefit,Statement Credit / Loyalty Perk,Do Not Launch,Not Eligible,0.0647,0.0634,-0.0061,Low Utilization,Negative Profit,Negative ROI,0,0
100037,61,32009.57,Retired,NJ,72,Platinum,Dining,567,6629.53,4599.57,0.6938,1,3704.23,0.2755,1,0,0.1431,High Risk,882.06,11,80.19,182.21,165.39,100.17,163.42,270.86,0,15.88,75.63,8.82,39.49,43.2,0.1395,-18.06,-4.2394,High-Utilization Revolver,Payment Health Messaging,Financial Health Nudge,Do Not Launch,Not Eligible,0.0276,0.1437,0.049,High Utilization,Moderate Profit,Negative ROI,0,0
100038,34,64759.52,Full-Time,IL,33,Platinum,Travel,715,24567.11,7549.47,0.3073,0,0.0,0.6626,0,0,0.0056,Low Risk,1503.41,26,57.82,416.15,159.98,108.65,517.82,300.82,0,27.06,0.0,15.03,2.54,9.49,0.1684,6.8,1.2782,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Test,Control,0.0232,0.1166,0.0063,Moderate Utilization,Low Profit,Low ROI,1,0
100039,51,74466.65,Self-Employed,NY,77,Quicksilver,Low APR,747,26249.83,8575.82,0.3267,0,0.0,0.6847,0,0,0.0042,Low Risk,3687.64,61,60.45,1238.24,1300.95,561.73,137.14,449.59,0,66.38,0.0,62.69,2.16,1.53,0.1318,-16.83,-3.3195,Loyal High-Value Customer,Retention Loyalty Benefit,Statement Credit / Loyalty Perk,Do Not Launch,Not Eligible,0.0495,0.1152,0.0004,Moderate Utilization,Low Profit,Negative ROI,0,0
100040,29,99565.68,Full-Time,IL,21,Quicksilver,Grocery,724,24157.07,5184.11,0.2146,0,0.0,0.904,0,0,0.0031,Low Risk,4661.79,85,54.84,951.96,1079.86,1003.08,386.63,1240.26,0,83.91,0.0,79.25,0.96,3.7,0.1749,-16.71,-3.5478,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Do Not Launch,Not Eligible,0.0468,0.0521,0.0008,Low Utilization,Low Profit,Negative ROI,0,0
100041,58,57426.43,Part-Time,VA,26,Quicksilver,Cashback,744,22473.58,3458.68,0.1539,0,0.0,0.7251,0,0,0.0028,Low Risk,3767.46,83,45.39,1993.06,349.88,429.87,131.58,863.07,0,67.81,0.0,64.05,0.58,3.18,0.1113,-10.11,-2.0424,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Do Not Launch,Not Eligible,0.0656,0.0602,0.0008,Low Utilization,Low Profit,Negative ROI,0,0
100042,55,93688.81,Full-Time,NC,108,Quicksilver,Grocery,778,26407.28,9047.13,0.3426,1,5639.1,0.74,0,0,0.0042,Low Risk,662.65,9,73.63,221.21,136.72,22.37,98.49,183.87,1,11.93,115.13,11.27,2.28,113.51,0.1512,202.13,46.0433,Dormant but Recoverable,Reactivation Bonus,$50 Spend Reactivation Bonus,Scale,Treatment,0.0071,0.0966,0.1713,Moderate Utilization,High Profit,High ROI,1,0
100043,38,71582.05,Part-Time,TX,6,Platinum,Dining,659,16238.37,5857.18,0.3607,1,3629.53,0.4212,1,0,0.0201,Low Risk,2791.14,32,87.22,667.26,440.78,478.17,145.63,1059.3,0,50.24,74.1,27.91,7.06,89.37,0.1259,80.35,18.3867,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Scale,Treatment,0.039,0.0818,0.032,Moderate Utilization,Moderate Profit,Moderate ROI,1,0
100044,24,38088.86,Full-Time,VA,68,Secured,Dining,626,11035.05,4357.74,0.3949,0,0.0,0.3802,0,0,0.0187,Low Risk,1381.61,22,62.8,200.24,366.88,121.19,496.07,197.24,0,24.87,0.0,8.29,4.89,11.69,0.1229,-4.5,-3.0,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Do Not Launch,Not Eligible,0.0363,0.1144,0.0085,Moderate Utilization,Low Profit,Negative ROI,0,0
100045,68,36520.53,Student,MA,102,Platinum,Cashback,660,13506.96,7351.84,0.5443,0,0.0,0.4875,1,0,0.031,Moderate Risk,2397.25,34,70.51,1146.77,419.46,284.46,382.37,164.19,0,43.15,0.0,23.97,13.67,5.51,0.0923,-41.83,-11.0369,Loyal High-Value Customer,Retention Loyalty Benefit,Statement Credit / Loyalty Perk,Do Not Launch,Not Eligible,0.0656,0.2013,0.0023,Moderate Utilization,Low Profit,Negative ROI,0,0
100046,42,106029.77,Full-Time,FL,87,Platinum,Grocery,684,25338.65,12942.98,0.5108,1,6416.21,0.4967,1,0,0.0205,Low Risk,4351.3,56,77.7,994.93,1264.43,305.64,1130.21,656.09,0,78.32,131.0,43.51,15.92,149.89,0.1108,131.27,35.193,Loyal High-Value Customer,Retention Loyalty Benefit,Statement Credit / Loyalty Perk,Scale,Control,0.041,0.1221,0.0344,Moderate Utilization,High Profit,High ROI,1,0
100047,64,109350.47,Full-Time,CA,54,Venture,Cashback,838,35807.43,1858.41,0.0519,0,0.0,1.0,0,0,0.002,Low Risk,939.5,15,62.63,101.61,314.39,50.25,165.62,307.63,1,16.91,0.0,20.67,0.22,-3.98,0.1657,-15.73,-2.7841,Dormant but Recoverable,Reactivation Bonus,$50 Spend Reactivation Bonus,Do Not Launch,Not Eligible,0.0086,0.017,-0.0042,Low Utilization,Negative Profit,Negative ROI,0,0
100048,54,75782.44,Full-Time,NY,40,Quicksilver,Grocery,714,19048.97,10120.72,0.5313,1,8477.14,0.33,0,0,0.0147,Low Risk,3561.99,50,71.24,404.11,1250.48,656.38,668.85,582.17,0,64.12,173.07,60.55,8.93,167.71,0.1303,211.5,37.1053,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Scale,Control,0.047,0.1335,0.0471,Moderate Utilization,High Profit,High ROI,1,0
100049,59,124019.84,Full-Time,NY,10,Platinum,Travel,734,29378.26,3410.82,0.1161,0,0.0,0.8769,0,0,0.002,Low Risk,1132.46,12,94.37,441.49,498.37,73.75,45.0,73.86,1,20.38,0.0,11.32,0.41,8.65,0.1778,12.7,4.0446,Dormant but Recoverable,Reactivation Bonus,$50 Spend Reactivation Bonus,Test,Treatment,0.0091,0.0275,0.0076,Low Utilization,Low Profit,Low ROI,1,0
100050,58,103133.15,Retired,FL,17,Platinum,Cashback,645,17123.21,6460.59,0.3773,1,4417.14,0.5393,2,0,0.027,Low Risk,4454.8,60,74.25,547.83,1460.26,230.53,240.7,1975.48,0,80.19,90.18,44.55,10.47,115.35,0.121,52.71,12.6403,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Scale,Control,0.0432,0.0626,0.0259,Moderate Utilization,High Profit,Moderate ROI,1,0
100051,30,88179.0,Full-Time,NJ,71,Quicksilver,Dining,704,24725.64,10367.46,0.4193,1,8458.72,0.5179,0,0,0.0105,Low Risk,577.74,8,72.22,143.37,150.13,51.69,98.99,133.56,1,10.4,172.7,9.82,6.53,166.75,0.1504,299.89,62.6075,Dormant but Recoverable,Reactivation Bonus,$50 Spend Reactivation Bonus,Scale,Treatment,0.0066,0.1176,0.2886,Moderate Utilization,High Profit,High ROI,1,0
100052,38,45127.59,Full-Time,VA,65,Platinum,Travel,592,12300.38,123.0,0.01,0,0.0,0.3341,0,0,0.0074,Low Risk,2167.29,34,63.74,1096.31,211.52,5.34,114.08,740.04,0,39.01,0.0,21.67,0.05,17.29,0.1376,4.38,0.8391,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Test,Treatment,0.048,0.0027,0.008,Low Utilization,Low Profit,Low ROI,1,0
100053,43,136926.57,Self-Employed,MA,47,Quicksilver,Cashback,780,30352.13,707.2,0.0233,0,0.0,1.0,0,0,0.002,Low Risk,7001.44,102,68.64,1216.92,766.73,297.05,2905.47,1815.26,0,126.03,0.0,119.02,0.08,6.93,0.1284,-11.19,-1.7189,Premium Growth Candidate,Premium Upgrade Offer,Travel Rewards Upgrade,Do Not Launch,Not Eligible,0.0511,0.0052,0.001,Low Utilization,Low Profit,Negative ROI,0,0
100054,45,82888.08,Full-Time,NY,37,Platinum,Dining,574,15055.69,5855.16,0.3889,0,0.0,0.6522,0,0,0.0213,Low Risk,2264.52,32,70.77,728.6,43.77,137.26,203.27,1151.62,0,40.76,0.0,22.65,7.48,10.63,0.1247,-27.6,-10.0,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Do Not Launch,Not Eligible,0.0273,0.0706,0.0047,Moderate Utilization,Low Profit,Negative ROI,0,0
100055,23,56271.74,Full-Time,CA,12,Quicksilver,Cashback,720,24673.28,8724.47,0.3536,1,8006.66,0.7165,0,0,0.0092,Low Risk,221.62,4,55.4,30.15,71.05,13.85,67.89,38.68,1,3.99,163.47,3.77,4.82,158.87,0.1212,232.65,73.8571,Dormant but Recoverable,Reactivation Bonus,$50 Spend Reactivation Bonus,Scale,Control,0.0039,0.155,0.7169,Moderate Utilization,High Profit,High ROI,1,0
100056,47,49977.42,Part-Time,MA,17,Secured,Cashback,631,10326.43,4359.82,0.4222,0,0.0,0.442,1,0,0.0251,Low Risk,3301.96,37,89.24,1675.16,199.18,125.3,908.13,394.19,0,59.44,0.0,19.81,6.57,33.06,0.1034,-29.86,-5.9482,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Do Not Launch,Not Eligible,0.0661,0.0872,0.01,Moderate Utilization,Moderate Profit,Negative ROI,0,0
100057,28,73706.72,Full-Time,MA,36,Platinum,Dining,600,17741.42,1497.38,0.0844,1,1324.5,0.349,0,0,0.0101,Low Risk,3343.97,54,61.93,315.52,1468.65,45.4,1258.09,256.32,0,60.19,27.04,33.44,0.91,52.88,0.1351,41.91,7.3141,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Scale,Treatment,0.0454,0.0203,0.0158,Low Utilization,Moderate Profit,Moderate ROI,1,0
